time,seconds_elapsed,y,z,x
1702338886100568600,191.93756860351561,-28,47,-37
1702338886200492000,192.03749194335938,-28,46,-38
1702338886301907000,192.13890698242187,-28,47,-38
1702338886402063600,192.23906372070311,-28,46,-37
1702338886502090000,192.3390900878906,-28,47,-38
1702338886601907000,192.43890698242188,-28,47,-37
1702338886702000000,192.53900024414062,-27,48,-38
1702338886802126300,192.63912622070313,-28,47,-38
1702338886901965000,192.73896508789062,-28,47,-37
1702338887000658200,192.837658203125,-28,48,-38
1702338887100565500,192.9375654296875,-28,46,-38
1702338887200532000,193.03753198242188,-28,46,-38
1702338887300481000,193.13748095703124,-28,47,-37
1702338887401063400,193.2380634765625,-28,48,-38
1702338887501877500,193.33887744140625,-28,47,-38
1702338887602098700,193.4390986328125,-28,48,-38
1702338887701058000,193.53805810546876,-28,46,-37
1702338887801888800,193.638888671875,-28,47,-38
1702338887900566800,193.73756689453126,-28,46,-38
1702338888000720600,193.837720703125,-28,47,-38
1702338888100492300,193.9374921875,-28,46,-38
1702338888200500700,194.03750073242188,-28,47,-38
1702338888301895400,194.1388955078125,-28,47,-38
1702338888401874700,194.23887475585937,-29,46,-37
1702338888501989600,194.33898974609374,-28,47,-38
1702338888600571100,194.43757104492187,-28,47,-38
1702338888702030300,194.5390302734375,-28,47,-38
1702338888802153500,194.63915356445312,-28,47,-38
1702338888901507800,194.7385078125,-28,47,-38
1702338889000666400,194.83766625976563,-28,47,-38
1702338889100487700,194.93748779296874,-28,47,-38
1702338889200486400,195.037486328125,-28,48,-37
1702338889302432800,195.13943286132812,-28,47,-37
1702338889402003200,195.23900317382814,-28,46,-38
1702338889502109200,195.33910913085938,-27,48,-38
1702338889600579800,195.4375798339844,-28,46,-37
1702338889701891800,195.53889184570312,-27,46,-37
1702338889802075100,195.6390751953125,-28,48,-38
1702338889901850600,195.7388505859375,-28,47,-37
1702338890000553700,195.8375537109375,-28,46,-37
1702338890100823600,195.9378234863281,-28,46,-37
1702338890200573700,196.03757373046875,-28,46,-38
1702338890300551700,196.1375517578125,-28,47,-38
1702338890402163200,196.2391630859375,-28,46,-37
1702338890500559000,196.33755908203125,-28,46,-38
1702338890601862000,196.43886181640624,-28,47,-38
1702338890702177300,196.53917724609374,-28,47,-38
1702338890800567000,196.63756713867187,-28,46,-38
1702338890901822500,196.7388225097656,-28,46,-38
1702338891000606000,196.83760595703126,-29,47,-37
1702338891100545000,196.937544921875,-29,46,-37
1702338891200495400,197.03749536132813,-28,47,-38
1702338891301275400,197.138275390625,-29,48,-38
1702338891400534500,197.23753442382812,-28,48,-38
1702338891502202000,197.3392021484375,-28,48,-38
1702338891601984000,197.43898388671874,-28,48,-38
1702338891702114300,197.5391142578125,-28,47,-38
1702338891801224400,197.63822436523438,-28,47,-38
1702338891902023000,197.73902294921874,-27,46,-38
1702338892000627500,197.83762744140626,-28,46,-38
1702338892100493300,197.93749340820312,-28,48,-38
1702338892200507400,198.03750732421875,-28,47,-38
1702338892300546800,198.137546875,-28,48,-38
1702338892400552000,198.23755200195313,-28,47,-37
1702338892502101500,198.3391015625,-28,47,-38
1702338892602122500,198.43912255859374,-28,47,-38
1702338892701031200,198.53803125,-28,47,-38
1702338892801876200,198.63887622070314,-28,46,-38
1702338892902178000,198.7391779785156,-28,48,-37
1702338893001883400,198.83888330078125,-28,46,-38
1702338893100496600,198.93749658203126,-28,47,-37
1702338893200537900,199.03753784179688,-28,48,-38
1702338893302015700,199.139015625,-28,47,-38
1702338893400572400,199.2375725097656,-28,46,-38
1702338893501916200,199.33891625976563,-28,46,-38
1702338893602111700,199.43911181640624,-28,46,-38
1702338893701302800,199.538302734375,-28,47,-38
1702338893802003000,199.6390029296875,-28,47,-38
1702338893902111700,199.73911181640625,-28,48,-37
1702338894000758300,199.83775830078125,-28,46,-37
1702338894100498200,199.93749829101563,-29,47,-37
1702338894200492000,200.03749194335938,-27,48,-37
1702338894300534500,200.13753442382813,-28,48,-37
1702338894402074000,200.23907421875,-28,47,-37
1702338894501855700,200.33885571289062,-28,46,-38
1702338894602190800,200.43919091796874,-27,46,-38
1702338894701092900,200.5380927734375,-28,45,-38
1702338894801918000,200.63891796875,-28,47,-38
1702338894902222000,200.73922216796876,-27,47,-39
1702338895001767700,200.838767578125,-28,47,-38
1702338895100492500,200.93749243164064,-28,47,-38
1702338895200542700,201.03754272460938,-28,46,-38
1702338895302147800,201.13914794921874,-28,47,-38
1702338895400624600,201.23762475585937,-28,47,-38
1702338895501856300,201.33885620117186,-27,47,-38
1702338895602103000,201.43910302734375,-28,46,-38
1702338895701527600,201.53852758789063,-28,48,-38
1702338895801994800,201.63899487304687,-27,47,-37
1702338895902092300,201.73909228515626,-27,47,-38
1702338896000969200,201.83796923828126,-28,46,-38
1702338896100489200,201.9374892578125,-28,47,-38
1702338896200494800,202.03749487304688,-28,46,-38
1702338896302063600,202.13906372070312,-27,48,-39
1702338896402144000,202.23914404296875,-28,46,-38
1702338896502072000,202.33907202148438,-27,45,-38
1702338896601900300,202.438900390625,-27,46,-38
1702338896702119000,202.53911889648438,-28,47,-38
1702338896801464800,202.63846484375,-27,47,-38
1702338896901922000,202.73892211914062,-28,46,-37
1702338897000573200,202.8375732421875,-28,48,-37
1702338897100490000,202.93748999023438,-29,48,-38
1702338897201127700,203.03812768554687,-28,48,-38
1702338897300603400,203.13760327148438,-28,46,-37
1702338897402049500,203.23904956054687,-27,49,-38
1702338897500923100,203.33792309570313,-27,48,-38
